indicator,unit,time,regioncode,regionname,numvalue
Notification rate ,N/1000000,2001-02-01,UK,United Kingdom,67796.86
Notification rate ,N/1000000,2001-03-01,DE,Germany,11877041.86
Notification rate ,N/1000000,2001-03-01,DK,Denmark,0.0
Notification rate ,N/1000000,2001-03-01,EL,Greece,0.0
Notification rate ,N/1000000,2001-03-01,ES,Spain,172135.89
Notification rate ,N/1000000,2001-03-01,FI,Finland,0.0
Notification rate ,N/1000000,2001-03-01,IE,Ireland,4957233.42
Notification rate ,N/1000000,2001-03-01,IT,Italy,1281585.55
Notification rate ,N/1000000,2001-03-01,LU,Luxembourg,2277904.3200000003
Notification rate ,N/1000000,2001-03-01,MT,Malta,2554833.1
Notification rate ,N/1000000,2001-03-01,NL,Netherlands,0.0
Notification rate ,N/1000000,2001-03-01,NO,Norway,222052.67
Notification rate ,N/1000000,2001-03-01,PT,Portugal,290394.5
Notification rate ,N/1000000,2001-03-01,SE,Sweden,0.0
Notification rate ,N/1000000,2001-03-01,UK,United Kingdom,50847.64
Notification rate ,N/1000000,2001-04-01,DE,Germany,15998144.399999999
Notification rate ,N/1000000,2001-04-01,DK,Denmark,0.0
Notification rate ,N/1000000,2001-04-01,EL,Greece,184570.13
Notification rate ,N/1000000,2001-04-01,ES,Spain,196726.72999999998
Notification rate ,N/1000000,2001-04-01,FI,Finland,0.0
Notification rate ,N/1000000,2001-04-01,IE,Ireland,2348163.2
Notification rate ,N/1000000,2001-04-01,IT,Italy,1808264.5399999998
Notification rate ,N/1000000,2001-04-01,LU,Luxembourg,2277904.3200000003
Notification rate ,N/1000000,2001-04-01,MT,Malta,0.0
Notification rate ,N/1000000,2001-04-01,NL,Netherlands,250202.11
Notification rate ,N/1000000,2001-04-01,PT,Portugal,193596.33000000002
Notification rate ,N/1000000,2001-04-01,SE,Sweden,0.0
Notification rate ,N/1000000,2001-04-01,UK,United Kingdom,50847.64
Notification rate ,N/1000000,2001-05-01,DE,Germany,12825260.139999999
Notification rate ,N/1000000,2001-05-01,DK,Denmark,186943.42
Notification rate ,N/1000000,2001-05-01,EL,Greece,0.0
Notification rate ,N/1000000,2001-05-01,ES,Spain,295090.10000000003
Notification rate ,N/1000000,2001-05-01,FI,Finland,193008.64
Notification rate ,N/1000000,2001-05-01,IE,Ireland,6783582.58
Notification rate ,N/1000000,2001-05-01,IT,Italy,1808264.5399999998
Notification rate ,N/1000000,2001-05-01,LU,Luxembourg,2277904.3200000003
Notification rate ,N/1000000,2001-05-01,MT,Malta,0.0
Notification rate ,N/1000000,2001-05-01,NL,Netherlands,62550.52
Notification rate ,N/1000000,2001-05-01,NO,Norway,0.0
Notification rate ,N/1000000,2001-05-01,PT,Portugal,96798.15999999999
Notification rate ,N/1000000,2001-05-01,SE,Sweden,0.0
Notification rate ,N/1000000,2001-05-01,UK,United Kingdom,101695.29
Notification rate ,N/1000000,2001-06-01,DE,Germany,10527654.3
Notification rate ,N/1000000,2001-06-01,DK,Denmark,934717.11
Notification rate ,N/1000000,2001-06-01,EL,Greece,184570.13
Notification rate ,N/1000000,2001-06-01,ES,Spain,221317.56999999998
Notification rate ,N/1000000,2001-06-01,FI,Finland,0.0
Notification rate ,N/1000000,2001-06-01,IE,Ireland,4174512.3499999996
Notification rate ,N/1000000,2001-06-01,IT,Italy,1667816.8099999998
Notification rate ,N/1000000,2001-06-01,LU,Luxembourg,0.0
Notification rate ,N/1000000,2001-06-01,MT,Malta,0.0
Notification rate ,N/1000000,2001-06-01,NL,Netherlands,125101.04999999999
Notification rate ,N/1000000,2001-06-01,NO,Norway,0.0
Notification rate ,N/1000000,2001-06-01,SE,Sweden,0.0
Notification rate ,N/1000000,2001-06-01,UK,United Kingdom,67796.86
Notification rate ,N/1000000,2001-07-01,DE,Germany,4789718.0
Notification rate ,N/1000000,2001-07-01,DK,Denmark,560830.26
Notification rate ,N/1000000,2001-07-01,EL,Greece,92285.06
Notification rate ,N/1000000,2001-07-01,ES,Spain,122954.20999999999
Notification rate ,N/1000000,2001-07-01,FI,Finland,0.0
Notification rate ,N/1000000,2001-07-01,IE,Ireland,4696326.4
